member_id,skill_name,level
1,Defending,Advanced
2,Dribbling,Beginner
3,Dribbling,Beginner
4,Shooting,Advanced
5,Defending,Beginner
6,Dribbling,Intermediate
7,Shooting,Advanced
8,Teamwork,Intermediate
9,Shooting,Beginner
10,Defending,Beginner
11,Goalkeeping,Intermediate
12,Goalkeeping,Intermediate
13,Goalkeeping,Intermediate
14,Dribbling,Beginner
15,Passing,Intermediate
16,Shooting,Advanced
17,Speed,Advanced
18,Dribbling,Intermediate
19,Speed,Intermediate
20,Passing,Beginner
21,Teamwork,Beginner
22,Defending,Beginner
23,Dribbling,Advanced
24,Speed,Beginner
25,Passing,Intermediate
26,Shooting,Intermediate
27,Passing,Beginner
28,Speed,Advanced
29,Speed,Beginner
30,Goalkeeping,Advanced
31,Defending,Beginner
32,Shooting,Beginner
33,Goalkeeping,Intermediate
34,Shooting,Beginner
35,Shooting,Advanced
36,Dribbling,Intermediate
37,Shooting,Beginner
38,Dribbling,Advanced
39,Teamwork,Advanced
40,Defending,Beginner
41,Defending,Intermediate
42,Teamwork,Advanced
43,Defending,Beginner
44,Passing,Intermediate
45,Teamwork,Beginner
46,Goalkeeping,Intermediate
47,Teamwork,Advanced
48,Defending,Beginner
49,Dribbling,Intermediate
50,Shooting,Intermediate
51,Dribbling,Intermediate
52,Dribbling,Beginner
53,Speed,Beginner
54,Defending,Advanced
55,Dribbling,Intermediate
56,Goalkeeping,Intermediate
57,Defending,Advanced
58,Defending,Advanced
59,Speed,Beginner
60,Defending,Beginner
61,Speed,Intermediate
62,Dribbling,Beginner
63,Shooting,Beginner
64,Goalkeeping,Intermediate
65,Defending,Intermediate
66,Goalkeeping,Advanced
67,Teamwork,Beginner
68,Speed,Intermediate
69,Speed,Advanced
70,Goalkeeping,Intermediate
71,Speed,Beginner
72,Speed,Intermediate
73,Dribbling,Beginner
74,Shooting,Advanced
75,Goalkeeping,Beginner
76,Speed,Advanced
77,Passing,Advanced
78,Goalkeeping,Advanced
79,Goalkeeping,Beginner
80,Defending,Beginner
81,Speed,Advanced
82,Passing,Intermediate
83,Speed,Intermediate
84,Passing,Advanced
85,Shooting,Beginner
86,Passing,Intermediate
87,Goalkeeping,Intermediate
88,Goalkeeping,Advanced
89,Teamwork,Intermediate
90,Goalkeeping,Intermediate
91,Defending,Intermediate
92,Teamwork,Beginner
93,Speed,Intermediate
94,Defending,Intermediate
95,Shooting,Intermediate
96,Teamwork,Advanced
97,Passing,Intermediate
98,Goalkeeping,Intermediate
99,Teamwork,Advanced
100,Teamwork,Beginner
101,Shooting,Intermediate
102,Defending,Advanced
103,Passing,Advanced
104,Teamwork,Intermediate
105,Dribbling,Intermediate
106,Passing,Intermediate
107,Dribbling,Intermediate
108,Defending,Advanced
109,Defending,Beginner
110,Speed,Advanced
111,Defending,Intermediate
112,Teamwork,Advanced
113,Goalkeeping,Intermediate
114,Shooting,Intermediate
115,Goalkeeping,Advanced
116,Dribbling,Advanced
117,Teamwork,Beginner
118,Dribbling,Advanced
119,Speed,Beginner
120,Passing,Beginner
121,Teamwork,Intermediate
122,Goalkeeping,Beginner
123,Defending,Intermediate
124,Speed,Advanced
125,Teamwork,Advanced
126,Goalkeeping,Intermediate
127,Speed,Beginner
128,Teamwork,Beginner
129,Dribbling,Advanced
130,Speed,Advanced
131,Teamwork,Intermediate
132,Defending,Advanced
133,Dribbling,Beginner
134,Goalkeeping,Intermediate
135,Shooting,Beginner
136,Dribbling,Advanced
137,Passing,Advanced
138,Teamwork,Beginner
139,Goalkeeping,Intermediate
140,Shooting,Advanced
141,Passing,Beginner
142,Goalkeeping,Beginner
143,Teamwork,Beginner
144,Passing,Advanced
145,Goalkeeping,Intermediate
146,Teamwork,Advanced
147,Shooting,Beginner
148,Defending,Intermediate
149,Teamwork,Intermediate
150,Teamwork,Advanced
